,Posture Problem,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis only,Kyphosis + Forward Head Posture,Kyphosis + Rounded Shoulders,Kyphosis + Scoliosis,Kyphosis + Pelvic Tilt (anterior),Kyphosis + Text Neck,Kyphosis + Flat Back Syndrome,Kyphosis + Hyperlordosis,Kyphosis + Slumped Sitting Posture,Kyphosis + Lordosis,Kyphosis + Rounded Shoulders,Kyphosis + Forward Head Posture + Scoliosis,Kyphosis + Rounded Shoulders + Pelvic Tilt,Kyphosis + Scoliosis + Hyperlordosis,Kyphosis + Text Neck + Slumped Sitting Posture,Kyphosis + Forward Head Posture + Rounded Shoulders,Kyphosis + Pelvic Tilt + Lordosis,Kyphosis + Flat Back Syndrome + Scoliosis,Kyphosis + Hyperlordosis + Text Neck,Kyphosis + Slumped Sitting Posture + Kyphosis,Kyphosis + Scoliosis + Forward Head Posture
,User ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
user_notes,112,"Mild Kyphosis, symmetric","Mild Kyphosis, symmetric","Mild Kyphosis, asymmetric (left shoulder more forward)","Moderate Kyphosis, symmetric","Severe Kyphosis, symmetric","Moderate Kyphosis, asymmetric (left shoulder lower)","Moderate Kyphosis, asymmetric (right shoulder lower)","Severe Kyphosis, symmetric","Severe Kyphosis, asymmetric (left shoulder lower)","Severe Kyphosis, asymmetric (right shoulder higher)","Mild Kyphosis + Forward Head Posture, symmetric","Mild Kyphosis + Rounded Shoulders, symmetric","Mild Kyphosis + Scoliosis (right curve), asymmetric","Mild Kyphosis + Pelvic Tilt (anterior), symmetric","Mild Kyphosis + Text Neck, asymmetric (left neck tighter)","Moderate Kyphosis + Flat Back Syndrome, asymmetric (left hip lower)","Moderate Kyphosis + Hyperlordosis, symmetric","Moderate Kyphosis + Slumped Sitting Posture, symmetric","Severe Kyphosis + Lordosis, symmetric","Severe Kyphosis + Rounded Shoulders, symmetric","Mild Kyphosis + Forward Head Posture + Scoliosis (right curve), asymmetric","Mild Kyphosis + Rounded Shoulders + Pelvic Tilt, symmetric","Mild Kyphosis + Scoliosis + Hyperlordosis, asymmetric (right curve)","Mild Kyphosis + Text Neck + Slumped Sitting Posture, symmetric","Mild Kyphosis + Forward Head Posture + Rounded Shoulders, symmetric","Moderate Kyphosis + Pelvic Tilt + Lordosis, symmetric","Moderate Kyphosis + Flat Back Syndrome + Scoliosis, asymmetric (left curve)","Moderate Kyphosis + Hyperlordosis + Text Neck, symmetric","Severe Kyphosis + Slumped Sitting Posture + Kyphosis, symmetric","Severe Kyphosis + Scoliosis + Forward Head Posture, asymmetric"
Question ID,Answer ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
l_tmj_tension,1,0,0,0,0,0,-2,-2,0,-3,-3,-2,0,-2,-3,-2,-3,-2,0,-2,-2,-3,0,-2,-3,-3,-3,-2,-2,0,-3
r_tmj_tension,2,0,0,0,0,0,-2,0,-2,-3,-3,-2,0,0,-3,-2,-3,-2,0,-2,0,-3,0,0,-3,-3,-3,-2,-2,0,-3
l_jaw_position,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,2
r_jaw_position,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,2
l_head_weight,5,0,0,0,0,0,-2,2,0,-3,3,0,0,2,2,0,-2,0,0,0,2,2,2,2,2,0,-2,0,0,0,2
r_head_weight,6,0,0,0,0,0,2,0,2,3,-3,0,0,-2,2,0,2,0,0,0,-2,-2,2,-2,2,0,2,0,0,0,-2
head_tilt_sagittal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,3,0,0,0,2
l_ear_shoulder,8,-2,-2,-2,-2,-2,-3,-3,-3,-5,-5,-2,-2,-2,-5,-2,-5,-2,-2,-2,-2,-2,-5,-2,-5,-5,-5,-2,-2,-2,-5
r_ear_shoulder,9,-2,-2,-2,-2,-2,-3,-3,-3,-5,-5,-2,-2,-2,-5,-2,-5,-2,-2,-2,-2,-2,-5,-2,-5,-5,-5,-2,-2,-2,-5
l_neck_tilt,10,0,0,0,0,0,-2,2,0,-3,3,-2,0,2,-3,-2,-3,0,0,0,2,-2,-3,2,-3,-3,-3,0,0,0,-3
r_neck_tilt,11,0,0,0,0,0,2,0,2,3,-3,-2,0,-2,-3,-2,-3,0,0,0,-2,-2,-3,-2,-3,-3,-3,0,0,0,-3
l_neck_rotation,12,0,0,0,0,0,-2,0,0,-3,-3,-2,0,0,-3,-2,-3,0,0,0,0,-2,-3,0,-3,-3,-3,0,0,0,-3
r_neck_rotation,13,0,0,0,0,0,0,-2,0,-3,-3,-2,0,0,-3,-2,-3,0,0,0,0,-2,-3,0,-3,-3,-3,0,0,0,-3
neck_forward,14,2,2,2,2,2,3,3,3,5,5,2,2,2,5,2,5,2,2,2,2,2,5,2,5,5,5,2,2,2,5
l_shoulder_height,15,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_shoulder_height,16,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_shoulder_forward,17,2,2,3,4,7,5,5,6,8,8,3,3,2,3,3,4,2,3,2,3,4,3,2,3,4,3,2,3,3,3
r_shoulder_forward,18,2,2,1,4,7,5,5,6,8,8,3,3,2,3,3,4,2,3,2,3,4,3,2,3,4,3,2,3,3,3
l_scapula_position,19,2,2,3,4,7,5,5,6,8,8,3,3,2,3,3,4,2,3,2,3,4,3,2,3,4,3,2,3,3,3
r_scapula_position,20,2,2,1,4,7,5,5,6,8,8,3,3,2,3,3,4,2,3,2,3,4,3,2,3,4,3,2,3,3,3
l_scapula_winging,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
r_scapula_winging,22,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0
l_pec_tension,23,-2,-2,-3,-4,-7,-5,-5,-6,-8,-8,-3,-3,-2,-3,-3,-4,-2,-3,-2,-3,-4,-3,-2,-3,-4,-3,-2,-3,-3,-3
r_pec_tension,24,-2,-2,-1,-4,-7,-5,-5,-6,-8,-8,-3,-3,-2,-3,-3,-4,-2,-3,-2,-3,-4,-3,-2,-3,-4,-3,-2,-3,-3,-3
l_ribcage_position,25,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_ribcage_position,26,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_breathing_pattern,27,-1,-1,-1,-2,-3,-2,-2,-3,-4,-4,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1
r_breathing_pattern,28,-1,-1,-1,-2,-3,-2,-2,-3,-4,-4,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1
l_thoracic_rotation,29,-1,-1,-1,-2,-3,-2,-2,-3,-4,-4,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1
r_thoracic_rotation,30,-1,-1,-1,-2,-3,-2,-2,-3,-4,-4,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1
l_thoracic_tension,31,-1,-1,-1,-2,-3,-2,-2,-3,-4,-4,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1
r_thoracic_tension,32,-1,-1,-1,-2,-3,-2,-2,-3,-4,-4,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1
l_thoracic_flexibility,33,-1,-1,-1,-2,-3,-2,-2,-3,-4,-4,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1
r_thoracic_flexibility,34,-1,-1,-1,-2,-3,-2,-2,-3,-4,-4,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1
thoracic_curve,35,2,1,2,4,7,5,5,6,8,8,5,2,2,2,2,3,2,3,2,3,6,2,2,2,4,2,3,2,3,2
spine_curve_coronal,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,5
l_lumbar_tension,37,0,0,0,0,0,-2,2,0,-3,3,0,0,0,0,0,-2,2,0,2,0,0,0,0,2,0,0,2,-2,2,0
r_lumbar_tension,38,0,0,0,0,0,2,0,2,3,-3,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,2,-2,2,0
l_lumbar_rotation,39,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_lumbar_rotation,40,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_lumbar_sidebend,41,0,0,0,0,0,-2,0,0,-3,-3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_lumbar_sidebend,42,0,0,0,0,0,0,-2,0,-3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
lumbar_curve,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,0,2,0,0,0,-2,3,0,0,2,-2,3,0
l_upper_abs,44,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_upper_abs,45,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_lower_abs,46,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_lower_abs,47,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_obliques,48,0,0,0,0,0,-2,0,0,-3,-3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_obliques,49,0,0,0,0,0,0,-2,0,-3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_si_joint,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
r_si_joint,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
l_psis_height,52,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_psis_height,53,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_asis_height,54,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,2,0,0,2,2,0,2,2,0,-2,2,0,0,2
r_asis_height,55,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,2,0,0,-2,-2,0,-2,2,0,2,2,0,0,-2
l_hip_rotation,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_hip_rotation,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_hip_height,58,0,0,0,0,0,-2,2,0,-3,3,0,0,2,0,0,-2,0,0,0,2,2,0,2,0,0,-2,0,0,0,2
r_hip_height,59,0,0,0,0,0,2,0,2,3,-3,0,0,-2,0,0,2,0,0,0,-2,-2,0,-2,0,0,2,0,0,0,-2
l_hip_shift,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
r_hip_shift,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
l_glute_tone,62,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
r_glute_tone,63,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
l_hip_flexor,64,0,0,0,0,0,-2,0,0,-3,-3,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
r_hip_flexor,65,0,0,0,0,0,0,-2,0,-3,-3,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0
l_knee_alignment,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_knee_alignment,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_knee_rotation,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_knee_rotation,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_patella_tracking,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_patella_tracking,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_knee_hyperext,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_knee_hyperext,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_q_angle,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_q_angle,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_ankle_position,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_ankle_position,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_arch_height,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_arch_height,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_foot_rotation,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_foot_rotation,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_toe_position,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_toe_position,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_callus_pos,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_callus_pos,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_callus_pos,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_callus_pos,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_heel_pressure,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_heel_pressure,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_forefoot_pressure,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_forefoot_pressure,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_lateral_pressure,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
r_lateral_pressure,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
l_medial_pressure,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,-2,0,0
r_medial_pressure,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
l_single_leg,100,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
r_single_leg,101,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
l_weight_shift,102,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
r_weight_shift,103,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
l_arm_raising,104,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
r_arm_raising,105,0,0,0,0,0,2,2,2,3,3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
squat_symmetry,106,0,0,0,0,0,2,-2,2,3,-3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
gait_symmetry,107,0,0,0,0,0,2,-2,2,3,-3,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,0,2
l_upper_pain,108,0,0,0,0,0,2,2,2,3,3,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,0,2,2,2
r_upper_pain,109,0,0,0,0,0,2,2,2,3,3,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,0,2,2,2
l_lower_pain,110,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2,0,0,2,0,2,0
r_lower_pain,111,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2,0,0,2,0,2,0
