ItemNumber,l_neck_tilt,r_neck_tilt,l_neck_rotation,r_neck_rotation,neck_forward
27,0.30,-0.30,0.20,0.10,0.50
28,-0.30,0.30,0.20,0.10,0.50
29,0.35,-0.35,0.25,0.15,0.60
30,-0.35,0.35,0.25,0.15,0.60
31,0.30,-0.30,0.25,0.10,0.55
32,-0.30,0.30,0.25,0.10,0.55
33,-0.60,0.60,-0.20,-0.25,-0.70
34,0.60,-0.60,-0.20,-0.25,-0.70
35,-0.50,0.50,-0.15,-0.10,-0.40
36,0.50,-0.50,-0.15,-0.10,-0.40
37,-0.55,0.55,-0.15,-0.10,-0.35
38,0.55,-0.55,-0.15,-0.10,-0.35
39,-0.50,0.50,-0.15,-0.10,-0.30
40,0.50,-0.50,-0.15,-0.10,-0.30
41,-0.40,-0.40,,,-0.75
42,-0.40,-0.40,,,-0.75
43,-0.45,-0.45,,,-0.80
44,-0.45,-0.45,,,-0.80
45,-0.40,-0.40,,,-0.75
46,-0.40,-0.40,,,-0.75
49,-0.40,-0.40,-0.25,-0.25,-0.60
50,-0.40,-0.40,-0.25,-0.25,-0.60
51,-0.35,-0.35,-0.20,-0.20,-0.55
52,-0.35,-0.35,-0.20,-0.20,-0.55
53,-0.40,0.40,-0.10,-0.05,-0.20
54,0.40,-0.40,-0.10,-0.05,-0.20
55,-0.50,0.50,-0.10,-0.10,-0.65
56,0.50,-0.50,-0.10,-0.10,-0.65
s